recibo_id,zona_id,foto,hora,obra_id,usuario_id,camion_id,acarreo_id,cantidad,total_flete,recibo_id,estimacion,estimacion_id,concepto_flete,flete_id,banco_id,unidad,acarreos_mat_id,material_id,cantidad,total_material,concepto_material,recibo_id,estimacion,estimacion_id,banco_id,unidad
382,2,NULL,"2017-06-20 12:00",452,852,542,92,12,678.00,382,Y,NULL,92,152,102,m3,642,482,12,73.80,92,902,Y,NULL,102,m3
382,2,NULL,"2017-06-20 12:00",452,852,542,92,12,678.00,382,Y,NULL,92,152,102,m3,652,482,13,79.95,92,912,Y,NULL,102,m3
382,2,NULL,"2017-06-20 12:00",452,852,542,92,12,678.00,382,Y,NULL,92,152,102,m3,662,482,17,104.55,92,922,Y,NULL,102,m3
382,2,NULL,"2017-06-20 12:00",452,852,542,92,12,678.00,382,Y,NULL,92,152,102,m3,672,482,16,98.40,92,932,Y,NULL,102,m3
382,2,NULL,"2017-06-20 12:00",452,852,542,92,12,678.00,382,Y,NULL,92,152,102,m3,682,482,14,86.10,92,942,Y,NULL,102,m3
382,2,NULL,"2017-06-20 12:00",452,852,542,92,12,678.00,382,Y,NULL,92,152,102,m3,692,482,15,92.25,92,952,Y,NULL,102,m3
382,2,NULL,"2017-06-20 12:00",452,852,542,92,12,678.00,382,Y,NULL,92,152,102,m3,702,482,13,79.95,92,962,Y,NULL,102,m3
382,2,NULL,"2017-06-20 12:00",452,852,542,92,12,678.00,382,Y,NULL,92,152,102,m3,712,482,12,73.80,92,972,Y,NULL,102,m3
382,2,NULL,"2017-06-20 12:00",452,852,542,92,12,678.00,382,Y,NULL,92,152,102,m3,722,482,12,73.80,92,982,Y,NULL,102,m3
382,2,NULL,"2017-06-20 12:00",452,852,542,92,12,678.00,382,Y,NULL,92,152,102,m3,732,482,12,73.80,92,992,Y,NULL,102,m3
382,2,NULL,"2017-06-20 12:00",452,852,542,92,12,678.00,382,Y,NULL,92,152,102,m3,742,482,13,79.95,92,1002,Y,NULL,102,m3
382,2,NULL,"2017-06-20 12:00",452,852,542,92,12,678.00,382,Y,NULL,92,152,102,m3,752,482,13,79.95,92,1012,Y,NULL,102,m3
382,2,NULL,"2017-06-20 12:00",452,852,542,92,12,678.00,382,Y,NULL,92,152,102,m3,762,482,17,104.55,92,1022,Y,NULL,102,m3
382,2,NULL,"2017-06-20 12:00",452,852,542,92,12,678.00,382,Y,NULL,92,152,102,m3,772,482,16,98.40,92,1032,Y,NULL,102,m3
382,2,NULL,"2017-06-20 12:00",452,852,542,92,12,678.00,382,Y,NULL,92,152,102,m3,782,482,14,86.10,92,1042,Y,NULL,102,m3
382,2,NULL,"2017-06-20 12:00",452,852,542,92,12,678.00,382,Y,NULL,92,152,102,m3,792,482,15,92.25,92,1052,Y,NULL,102,m3
382,2,NULL,"2017-06-20 12:00",452,852,542,92,12,678.00,382,Y,NULL,92,152,102,m3,802,482,13,79.95,92,1062,Y,NULL,102,m3
382,2,NULL,"2017-06-20 12:00",452,852,542,92,12,678.00,382,Y,NULL,92,152,102,m3,812,482,12,73.80,92,1072,Y,NULL,102,m3
382,2,NULL,"2017-06-20 12:00",452,852,542,92,12,678.00,382,Y,NULL,92,152,102,m3,822,482,12,73.80,92,1082,Y,NULL,102,m3
382,2,NULL,"2017-06-20 12:00",452,852,542,92,12,678.00,382,Y,NULL,92,152,102,m3,832,482,13,79.95,92,1092,Y,NULL,102,m3
382,2,NULL,"2017-06-20 12:00",452,852,542,92,12,678.00,382,Y,NULL,92,152,102,m3,842,482,13,79.95,92,1102,Y,NULL,102,m3
382,2,NULL,"2017-06-20 12:00",452,852,542,92,12,678.00,382,Y,NULL,92,152,102,m3,852,482,12,73.80,92,1112,Y,NULL,102,m3
382,2,NULL,"2017-06-20 12:00",452,852,542,92,12,678.00,382,Y,NULL,92,152,102,m3,862,482,17,104.55,92,1122,Y,NULL,102,m3
382,2,NULL,"2017-06-20 12:00",452,852,542,92,12,678.00,382,Y,NULL,92,152,102,m3,872,482,16,98.40,92,1132,Y,NULL,102,m3
382,2,NULL,"2017-06-20 12:00",452,852,542,92,12,678.00,382,Y,NULL,92,152,102,m3,882,482,14,86.10,92,1142,Y,NULL,102,m3
